D039152817,2175,管理資訊系統
D0845509,3817,iOS APP程式設計
D068318055,3767,全民國防教育軍事訓練(二)
D081556939,1300,微積分(二)
D070986969,1330,數位信號處理導論
D0767237,2953,教育的理論與實踐
D094508895,1303,邏輯設計實習
D041003565,2145,經濟學(二)實習
D090483356,1340,計算機結構學
D053371768,1340,計算機結構學
D005263080,2158,統計學(二)
D006621315,2167,應用程式設計
D058451472,2172,企業倫理與社會責任
D012696208,1302,邏輯設計
D0853407,3779,全民國防教育軍事訓練(二)
D0685166,2931,衛星科技應用
D0647244,1331,計算機結構學
D0904127,2940,智慧城市實務分析
D0993966,3017,批判思考
D042891369,1289,微積分(二)實習
D090353475,1274,班級活動
D004453383,3780,全民國防教育軍事訓練(二)
D047982000,2953,教育的理論與實踐
D009935914,2159,統計學(二)實習
D059380375,1331,計算機結構學
D0904055,1341,計算機演算法
D082083434,2146,管理學
D026721262,1308,資料庫系統
D0850435,3030,氣候變遷對臺灣之衝擊
D070333428,1302,邏輯設計
D0864079,2942,音樂、語言與大腦
D027592656,1324,資訊與網路安全
D0665015,2135,會計學(二)實習
D036913183,1274,班級活動
D061379220,1309,機率論
D049527360,1278,普通物理-電、磁、光實驗
D0632338,2172,企業倫理與社會責任
D0734137,2950,智慧財產之保護與實務
D037896966,2948,公民社會的政策參與
D0871007,3767,全民國防教育軍事訓練(二)
D035888048,1967,作業系統(二)
D0976982,2953,教育的理論與實踐
D093179256,1286,程式設計(III)
D0833665,3780,全民國防教育軍事訓練(二)
D009712928,1334,計算機結構學
D014222535,1298,普通物理-電、磁、光實驗
D010279045,1274,班級活動
D089717691,2876,日本歷史與文化
D017071994,2968,心理劇與自我成長
D0891697,2151,組織行為
D080306979,1303,邏輯設計實習
D009984851,2954,教育的理論與實踐
D089956441,3780,全民國防教育軍事訓練(二)
D0554334,1279,微積分(二)實習
D0971523,1316,資料庫系統
D0723899,3021,生命科學
D088800592,1294,班級活動
D024985543,2152,統計學(二)
D0727168,2978,觀光美儀與國際禮儀
D077616999,1341,計算機演算法
D056793055,2912,電影與性別
D0780227,1361,資訊專題研討(四)
D0577127,1341,計算機演算法
D000010788,2172,企業倫理與社會責任
D0578131,2925,國防科技與產業發展
D016823716,1290,微積分(二)
D008484048,1296,程式設計(III)
D0987726,2152,統計學(二)
D0720371,1346,文獻研討(二)
D0847744,3780,全民國防教育軍事訓練(二)
D039928740,2897,音樂與人生
D0583744,2132,班級活動
D024920117,3898,創新管理與企業家精神
D0589356,3025,衛星科技應用
D0513184,2185,產業與競爭分析
D092549722,1306,機率論
D004287919,2871,詩詞欣賞
D048234467,3829,Android Apps創意程式設計
D090502521,1355,知識管理與創新
D0597144,3049,3D動畫虛擬實境實作(II)
D0929525,2997,舞台道具製作
D047961043,1296,程式設計(III)
D015549655,2895,音樂與人生
D024209755,1290,微積分(二)
D026653839,2172,企業倫理與社會責任
D068008796,1340,計算機結構學
D0702504,2165,消費者行為
D0553956,1306,機率論
D0640715,2976,初階智慧型創新
D0575243,1299,微積分(二)實習
D0794217,1338,計算機演算法
D029869244,1276,程式設計(III)
D004169734,2976,初階智慧型創新
D0904054,1322,物件導向設計
D0910653,2901,應用文
D021172281,1293,邏輯設計實習
D0942938,1315,系統程式
D0509026,2873,希臘羅馬神話故事與西洋藝術
D061429239,1307,系統程式
D051249649,2196,財務管理
