D006886714,1291,線性代數
D067618859,2138,管理學
D0977321,1320,機率論
D089728918,3900,學術寫作與商業報告
D0900729,1317,機率論
D006641252,1350,型樣識別
D0914163,3893,與產業接軌─共通核心職能培育
D0637862,2933,環境與公害
D0524527,1288,普通物理-電、磁、光實驗
D004500766,2174,國際企業管理
D098327829,2186,企業管理實務
D0930810,3032,個人資料保護法
D0950376,3008,創意運動英文學習
D041941287,1299,微積分(二)實習
D0959322,3043,戀愛、家庭與性別平等
D013608538,2871,詩詞欣賞
D050514595,2963,服務學習專題
D0717907,2168,企業倫理與社會責任
D079735162,2963,服務學習專題
D098943944,2862,人生哲學
D002294308,1281,線性代數
D0843934,2932,衛星科技應用
D089484302,1286,程式設計(III)
D071861494,1292,邏輯設計
D041285060,2970,時間管理專題
D0823592,1314,UNIX應用與實務
D014827969,3780,全民國防教育軍事訓練(二)
D027029671,2979,觀光美儀與國際禮儀
D086768931,3818,iOS APP程式設計
D0668257,1331,計算機結構學
D040068985,2132,班級活動
D063167467,1320,機率論
D037837778,1308,資料庫系統
D084668103,1288,普通物理-電、磁、光實驗
D0598356,2926,創新綠色科技
D021636271,1335,計算機演算法
D061317840,2179,服務科學與創新
D0554205,1324,資訊與網路安全
D018822809,2870,詩詞欣賞
D0583489,2180,投資組合管理
D0512668,3899,電子商務與大數據
D082023157,2159,統計學(二)實習
D0806448,2912,電影與性別
D071439310,2987,專利撰寫實務
D0923288,2904,應用文
D031806060,1354,無線隨意與感測網路技術與應用
D037002138,2146,管理學
D083404146,1308,資料庫系統
D0716208,2172,企業倫理與社會責任
D059687719,2137,經濟學(二)實習
D008088260,1353,雲端計算
D096868546,3813,劇場與影像設計
D010502464,3002,漢字之美
D0639176,1335,計算機演算法
D097141105,1274,班級活動
D051627089,2136,經濟學(二)
D0867264,3897,國際企業策略與文化
D0810314,2912,電影與性別
D054036536,1292,邏輯設計
D008251169,2167,應用程式設計
D0963326,1301,線性代數
D075220426,2981,美好時光，社群聚場
D084597571,1356,資料探勘
D0862535,3039,策略理論與中國崛起
D026251080,1335,計算機演算法
D096078457,2915,音樂行旅 - 巡訪古典音樂大師
D0928238,2895,音樂與人生
D097603078,1326,物件導向設計
D092783164,2160,管理科學
D079379144,2176,人力資源發展
D0882035,1315,系統程式
D062036061,2874,中國文化遺產及其藝術
D0829492,3779,全民國防教育軍事訓練(二)
D0622862,1302,邏輯設計
D011260233,1304,系統程式
D0931079,3024,全球暖化與綠色環境設計
D0887081,1348,資訊專題研討(二)
D023364622,2919,生命科學
D0569307,2144,經濟學(二)
D019226842,1298,普通物理-電、磁、光實驗
D083867293,2165,消費者行為
D002223902,2986,藝術、心靈與創造力
D0806353,3018,旅遊與多元學習
D065374870,2168,企業倫理與社會責任
D086292115,2913,世界音樂賞析
D079731850,1316,資料庫系統
D0514386,2887,台灣民間信仰
D036377459,2911,電影與性別
D011334293,2160,管理科學
D018063967,2139,資訊網路
D0652484,2146,管理學
D044784225,1315,系統程式
D098818723,2157,組織行為
D0902631,3891,使用者導向設計
D0678889,1323,物件導向設計實習
D0792829,1311,物件導向設計
D034999578,1967,作業系統(二)
D0597966,1364,資訊專題研討(六)
D098535446,2194,行銷管理
D071324821,2894,宗教與人生
