D0746870,3820,體育玩很大：創意運動課程設計
D0868402,2972,行政領導與人脈經營
D065329092,2172,企業倫理與社會責任
D083310263,2968,心理劇與自我成長
D011841166,1310,系統分析與設計
D0579702,1316,資料庫系統
D053759702,1281,線性代數
D0819506,1300,微積分(二)
D0510059,3779,全民國防教育軍事訓練(二)
D0980348,2874,中國文化遺產及其藝術
D0793015,3016,應用文
D0677761,2931,衛星科技應用
D067490479,1340,計算機結構學
D092312852,2147,資訊網路
D0773905,2975,台灣的政府與政治
D0827015,2153,統計學(二)實習
D0743103,2893,宗教與人生
D0679888,2168,企業倫理與社會責任
D070290400,1355,知識管理與創新
D047187368,2142,會計學(二)
D043130276,1298,普通物理-電、磁、光實驗
D063031010,2884,古典小說
D053735225,1276,程式設計(III)
D045849084,1316,資料庫系統
D058794043,2905,批判思考
D0771560,2874,中國文化遺產及其藝術
D0834397,1303,邏輯設計實習
D0910125,2956,管理面面觀
D022340689,2976,初階智慧型創新
D0545469,2175,管理資訊系統
D014145254,2885,台灣民間信仰
D034011669,1349,具體數學
D064770956,1334,計算機結構學
D0783980,2902,應用文
D0665653,1294,班級活動
D0576978,2923,現代軍事學
D0617507,2963,服務學習專題
D058428900,2156,商事法
D073384212,1294,班級活動
D0745739,1316,資料庫系統
D0907297,2175,管理資訊系統
D006402327,2157,組織行為
D0545051,2178,企業資源規劃實務(二)
D0531392,2863,人生哲學
D070338706,1317,機率論
D084277473,1292,邏輯設計
D010654200,1315,系統程式
D0983108,3820,體育玩很大：創意運動課程設計
D082585433,1353,雲端計算
D066151692,2152,統計學(二)
D0536164,2149,管理與統計
D0858087,2185,產業與競爭分析
D030813267,1321,系統分析與設計
D025233926,1341,計算機演算法
D012692743,1302,邏輯設計
D091889911,2172,企業倫理與社會責任
D035129479,1299,微積分(二)實習
D0976806,2166,管理心理學
D041919989,1340,計算機結構學
D0680490,3017,批判思考
D005815494,2147,資訊網路
D059493136,1332,計算機演算法
D078062368,1288,普通物理-電、磁、光實驗
D082720322,2892,生死與哲學
D044680404,2924,現代軍事學
D018318609,2895,音樂與人生
D0545599,3008,創意運動英文學習
D0526296,3031,食品衛生與安全
D006321772,1276,程式設計(III)
D0773885,1355,知識管理與創新
D098031849,2901,應用文
D038335976,2912,電影與性別
D0589779,2948,公民社會的政策參與
D0929679,2186,企業管理實務
D0579743,3815,Android Apps創意程式設計
D0689507,1279,微積分(二)實習
D0669368,1335,計算機演算法
D045546150,2158,統計學(二)
D0629172,2922,第三波戰爭之科技武器
D0800198,2890,台灣民間信仰
D012495214,1304,系統程式
D040971438,1315,系統程式
D062133692,1349,具體數學
D0559292,1283,邏輯設計實習
D0501194,2954,教育的理論與實踐
D0990788,1967,作業系統(二)
D0701334,1309,機率論
D034089910,2895,音樂與人生
D056002645,1315,系統程式
D080982999,2132,班級活動
D0749461,2145,經濟學(二)實習
D0537708,1292,邏輯設計
D0826238,1302,邏輯設計
D0509278,1283,邏輯設計實習
D0587450,3034,智慧財產之保護與實務
D013128289,1299,微積分(二)實習
D0576460,2992,聲音表達與訓練
D004472841,1972,軟體品質保證與軟體測試
D0771464,3012,衣藝美學與科技時尚
D034162040,1280,微積分(二)
